default_status,cash,accounts_receivable,inventory,total_current_assets,fixed_assets,total_non_current_assets,total_assets,short_term_debt,accounts_payable,total_non_current_liabilities,total_equity,report_period,year,month,revenue,cost_of_sales,finance_expense,asset_impairment_loss,operating_profit,total_profit,net_profit,default_year,default_month,impairment_ratio,net_profit_margin,company_id
1,2198562308,4068718465,1555411986,12765248454,3665406672,8212471984,20977720438,4773002063,223754398.6,12531032129,8290206806,1,2019,12,3203548193,3405048218,239449169.8,6653643721,-9640739545,-9631142350,-9295470912,2019,11,0.802590801,-2.901617317,COMPANY_0011
1,761313607.1,3922073985,1272917551,12142505994,3552413791,8071092941,20213598935,4890769613,315400426.9,12175349297,7871964404,1,2020,3,209803738.1,218175855.1,66974953.14,6690.49,-418467361.3,-418242401.9,-418242401.9,2019,11,8.49914E-07,-1.993493566,COMPANY_0012
1,218980391.3,3352342707,299755709.6,5304726660,2034557908,4279805141,9584531801,5335746457,142028894.5,13541820192,-4416231495,1,2020,12,1338170049,1392752221,314823648,8380898397,0,0,0,2019,11,-1.897748885,0,COMPANY_0013
1,160403353.4,3029171818,339922174.5,5065628618,1849862217,3998792913,9064421531,4924464709,122132761,13735993073,-5170214547,1,2021,6,384307524.1,348200399.1,98162745.43,257284378.6,-731825688.3,-753983052.1,-753983052.1,2019,11,-0.049762805,-1.961926335,COMPANY_0014
0,1249962900,1379443400,1667823700,8252487800,424805000,4062103200,12314591000,1054938000,48422500,6474922000,5090061400,1,2016,9,4980758900,4526248000,71999900,0,268128200,274430700,247267600,2099,12,0,0.049644563,COMPANY_0015
0,1995274620,1761917240,1978357259,10360837139,579892104.1,3834239058,14195076197,1077237968,110831444.3,8006355655,5428634529,1,2016,12,6941261386,6248575620,82045314.73,38745822.75,395895839.2,427775301.2,320352540.3,2099,12,0.007137305,0.04615192,COMPANY_0016
0,2888030725,3816212628,2861422619,14106615738,601159474.5,7247130859,21353746597,916224768.3,162610802.1,10383851216,8029796556,1,2017,12,8144640204,7276669310,153975626.7,32746217.18,706306750.4,750957014,612696708.1,2099,12,0.004078088,0.075226983,COMPANY_0017
0,3589178900,3307979379,2466775004,12284915157,790638371.8,11122314923,23407230080,1504082905,237608285.5,10314516986,8813470827,1,2018,12,8004297143,6978471407,238985316.9,-65193864.09,766478801.8,772900763.2,534769455.5,2099,12,-0.00739707,0.066810295,COMPANY_0018
0,3888370730,0,2350218631,13453614329,910470443.6,12394319912,25847934242,1810581105,147446896,10400910936,9196468796,1,2019,3,1551338893,1308954436,90650651.87,283187.61,169281816.2,185786429.7,151786082.3,2099,12,3.07931E-05,0.097841989,COMPANY_0019
0,14763362526,4416610410,3077259524,57116869268,1898899612,19743802090,76860671358,1643416935,962682538.8,44921022535,20121525455,1,2019,12,9138793681,7775498755,278303795.5,595760327,2091277047,2100041639,1655745618,2099,12,0.029608109,0.1811777,COMPANY_0020
